ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,target
14610,50000,M,bachelor,single,22,1
13514,240000,F,school graduate,single,36,1
15440,150000,M,bachelor,single,26,1
658,190000,F,master,single,28,1
18025,290000,M,master,single,31,1
16232,480000,F,bachelor,single,34,1
25839,210000,F,master,single,32,1
5631,40000,F,bachelor,single,25,1
18553,160000,F,master,single,27,1
7314,30000,F,bachelor,single,22,1
5954,120000,F,master,single,27,1
11642,20000,M,master,single,39,1
10477,180000,F,master,single,34,1
4689,20000,F,bachelor,single,30,1
1193,270000,F,bachelor,single,34,1
14447,80000,M,master,single,39,1
674,30000,M,bachelor,single,25,1
14162,50000,M,bachelor,single,25,1
18098,50000,M,master,single,49,1
4518,50000,M,master,single,38,1
15796,70000,F,bachelor,single,25,1
12376,140000,M,bachelor,single,44,1
24498,60000,M,master,single,36,1
13185,20000,M,bachelor,single,24,1
18375,30000,F,master,single,23,1
24371,240000,M,bachelor,single,46,1
24761,30000,M,bachelor,single,35,1
9973,300000,F,master,single,39,1
10685,230000,M,school graduate,single,30,1
12948,200000,M,bachelor,single,25,1
21961,50000,F,school graduate,single,28,1
13995,160000,F,master,single,36,1
11830,30000,F,school graduate,single,24,1
29414,100000,M,bachelor,single,30,1
29775,100000,M,bachelor,single,34,1
7753,120000,M,school graduate,single,44,1
6278,110000,F,master,single,32,1
18710,30000,F,bachelor,single,26,1
28074,120000,F,school graduate,single,26,1
4708,50000,F,bachelor,single,36,1
15682,30000,M,bachelor,single,25,1
5423,80000,M,bachelor,single,25,1
16739,320000,M,master,single,33,1
4144,30000,F,bachelor,single,24,1
13210,10000,M,bachelor,single,24,1
10317,20000,F,school graduate,single,23,1
27212,60000,M,school graduate,single,31,1
7444,170000,M,school graduate,single,26,1
9995,170000,M,bachelor,single,30,1
8041,70000,M,school graduate,single,32,1
27254,100000,M,school graduate,single,48,1
18961,200000,F,master,single,29,1
8472,30000,F,bachelor,single,22,1
8179,50000,M,bachelor,single,29,1
17864,30000,M,bachelor,single,26,1
22169,50000,F,bachelor,single,28,1
10233,50000,M,bachelor,single,25,1
24675,30000,M,bachelor,single,35,1
20497,140000,M,bachelor,single,26,1
26336,300000,F,master,single,32,1
3688,50000,F,bachelor,single,23,1
79,30000,F,bachelor,single,22,1
17908,50000,M,bachelor,single,32,1
23565,110000,F,bachelor,single,36,1
20368,20000,M,bachelor,single,23,1
5041,130000,F,master,single,29,1
24229,50000,M,master,single,30,1
24571,50000,M,master,single,31,1
24995,50000,M,bachelor,single,43,1
15455,20000,M,bachelor,single,23,1
28479,100000,F,bachelor,single,35,1
22164,110000,F,bachelor,single,29,1
7646,50000,F,bachelor,single,36,1
22267,400000,F,master,single,29,1
6918,300000,M,master,single,26,1
14801,110000,M,school graduate,single,36,1
1514,210000,F,school graduate,single,33,1
29353,90000,M,school graduate,single,28,1
26006,300000,F,master,single,30,1
16464,50000,F,bachelor,single,53,1
18928,300000,F,bachelor,single,28,1
24030,160000,M,master,single,26,1
27674,50000,F,master,single,24,1
7869,120000,F,bachelor,single,28,1
13197,20000,M,school graduate,single,52,1
6906,50000,M,bachelor,single,25,1
17837,110000,M,bachelor,single,24,1
25064,20000,M,school graduate,single,55,1
1005,150000,F,school graduate,single,30,1
18165,190000,M,bachelor,single,36,1
25279,80000,F,school graduate,single,27,1
1937,20000,F,master,single,24,1
17180,50000,F,master,single,28,1
24970,80000,M,bachelor,single,36,1
22766,180000,F,bachelor,single,36,1
14160,220000,F,master,single,36,1
3964,90000,F,bachelor,single,23,1
7561,70000,F,master,single,28,1
12195,40000,M,master,single,25,1
15213,360000,F,master,single,27,1
933,160000,F,bachelor,single,29,1
29437,140000,M,master,single,28,1
12801,10000,M,school graduate,single,36,1
11964,360000,F,master,single,56,1
23939,70000,M,bachelor,single,27,1
17921,50000,M,bachelor,single,25,1
8049,70000,M,bachelor,single,41,1
2129,50000,F,school graduate,single,52,1
22863,150000,F,master,single,31,1
16626,50000,M,master,single,32,1
22258,60000,F,master,single,29,1
9459,100000,M,bachelor,single,29,1
18421,40000,F,bachelor,single,24,1
18774,50000,F,bachelor,single,27,1
24625,30000,M,master,single,31,1
19585,310000,F,master,single,35,1
23620,150000,F,master,single,34,1
18719,70000,F,bachelor,single,26,1
9218,180000,F,bachelor,single,23,1
26627,50000,M,bachelor,single,23,1
1848,30000,M,bachelor,single,26,1
9666,360000,F,master,single,27,1
1774,50000,M,bachelor,single,25,1
47,20000,F,master,single,22,1
26072,230000,F,master,single,33,1
29521,50000,M,school graduate,single,34,1
18445,20000,F,master,single,26,1
29346,20000,M,bachelor,single,27,1
8708,100000,F,bachelor,single,29,1
9149,10000,F,bachelor,single,46,1
16680,140000,M,bachelor,single,32,1
19443,360000,F,bachelor,single,37,1
8308,130000,M,bachelor,single,27,1
9799,20000,F,master,single,23,1
6854,290000,M,school graduate,single,34,1
26467,210000,F,bachelor,single,49,1
11225,50000,M,school graduate,single,46,1
23053,120000,F,master,single,27,1
16308,30000,F,bachelor,single,33,1
13926,240000,F,master,single,26,1
16520,420000,M,bachelor,single,26,1
29168,80000,F,master,single,54,1
23954,20000,M,master,single,24,1
17911,100000,M,bachelor,single,28,1
15321,170000,F,bachelor,single,38,1
16129,200000,F,bachelor,single,32,1
29301,200000,M,bachelor,single,25,1
5042,310000,M,master,single,28,1
15876,100000,F,master,single,22,1
26586,200000,M,master,single,27,1
9733,20000,M,master,single,24,1
9569,20000,M,bachelor,single,25,1
12417,60000,M,bachelor,single,27,1
10447,10000,F,bachelor,single,24,1
27264,470000,M,school graduate,single,37,1
5818,140000,F,master,single,25,1
3840,50000,M,school graduate,single,28,1
2428,50000,M,master,single,33,1
10083,290000,M,bachelor,single,29,0
21441,160000,F,master,single,29,0
22127,270000,F,bachelor,single,29,0
23877,160000,M,master,single,29,0
10424,390000,F,master,single,29,0
5882,400000,F,master,single,32,0
22035,160000,F,master,single,28,0
20552,50000,M,school graduate,single,28,0
18759,230000,F,bachelor,single,30,0
24962,80000,M,bachelor,single,35,0
24895,500000,M,master,single,40,0
25614,290000,F,master,single,29,0
14425,210000,M,master,single,27,0
15396,140000,F,school graduate,single,53,0
5358,270000,F,master,single,27,0
24605,70000,M,bachelor,single,29,0
18718,200000,F,master,single,26,0
7391,380000,F,master,single,44,0
15507,90000,M,bachelor,single,33,0
22762,180000,F,bachelor,single,35,0
19777,180000,F,master,single,36,0
16816,40000,M,bachelor,single,33,0
6221,60000,F,master,single,27,0
13356,130000,M,bachelor,single,27,0
3878,50000,F,bachelor,single,23,0
14661,20000,M,bachelor,single,25,0
9389,50000,M,other,single,33,0
17055,50000,F,bachelor,single,22,0
29429,50000,M,bachelor,single,26,0
7337,50000,M,bachelor,single,25,0
12994,290000,F,master,single,30,0
7699,110000,F,school graduate,single,31,0
8414,180000,F,master,single,29,0
23099,220000,F,bachelor,single,47,0
29424,310000,M,master,single,30,0
22372,150000,F,bachelor,single,29,0
18654,90000,F,master,single,29,0
1740,20000,M,bachelor,single,25,0
20400,20000,M,bachelor,single,24,0
20263,50000,F,bachelor,single,51,0
27611,410000,F,master,single,28,0
8906,50000,M,bachelor,single,25,0
7252,20000,M,bachelor,single,39,0
20402,50000,M,bachelor,single,23,0
27167,10000,M,school graduate,single,44,0
23956,50000,M,bachelor,single,24,0
18090,150000,M,bachelor,single,32,0
243,50000,F,bachelor,single,27,0
3118,110000,F,master,single,27,0
22565,360000,F,master,single,31,0
5849,110000,M,master,single,30,0
28936,460000,F,master,single,34,0
28093,130000,F,school graduate,single,46,0
10475,60000,F,master,single,31,0
4287,30000,F,school graduate,single,22,0
13437,260000,M,bachelor,single,30,0
13582,110000,F,master,single,29,0
29649,320000,M,master,single,34,0
5872,270000,F,master,single,27,0
5896,180000,F,master,single,27,0
14700,360000,F,bachelor,single,28,0
24180,360000,M,master,single,30,0
198,20000,F,master,single,22,0
12685,170000,F,master,single,30,0
28329,240000,F,master,single,31,0
10536,80000,F,bachelor,single,27,0
17030,50000,F,bachelor,single,24,0
26676,50000,M,bachelor,single,24,0
16607,80000,M,master,single,32,0
6857,360000,F,master,single,29,0
25976,300000,F,bachelor,single,34,0
8246,200000,F,master,single,34,0
13417,500000,F,bachelor,single,33,0
1215,360000,M,master,single,43,0
18871,50000,F,bachelor,single,27,0
13909,180000,F,master,single,28,0
9847,200000,F,master,single,27,0
24260,80000,M,master,single,29,0
2985,180000,F,bachelor,single,43,0
18343,20000,F,bachelor,single,21,0
13646,230000,M,bachelor,single,32,0
1605,250000,F,bachelor,single,26,0
21753,50000,F,master,single,24,0
10526,20000,M,bachelor,single,24,0
9277,450000,M,master,single,31,0
10884,160000,F,master,single,30,0
26733,310000,M,bachelor,single,27,0
21505,80000,F,master,single,29,0
4713,60000,M,bachelor,single,24,0
11984,100000,M,master,single,31,0
15902,110000,F,bachelor,single,26,0
6457,450000,F,master,single,32,0
20146,420000,F,bachelor,single,49,0
29228,50000,M,bachelor,single,24,0
13002,60000,F,master,single,26,0
4532,120000,F,bachelor,single,25,0
16190,190000,F,school graduate,single,37,0
29104,60000,F,bachelor,single,51,0
26891,320000,M,bachelor,single,32,0
10609,30000,M,school graduate,single,27,0
4429,500000,F,master,single,41,0
29832,120000,M,bachelor,single,30,0
10527,260000,F,bachelor,single,40,0
4653,210000,M,master,single,30,0
16073,50000,F,school graduate,single,40,0
20772,20000,M,bachelor,single,44,0
3331,50000,M,bachelor,single,29,0
3070,30000,M,school graduate,single,38,0
27470,100000,M,NaN,single,51,0
26951,150000,M,master,single,31,0
550,120000,M,master,single,27,0
27864,60000,F,master,single,27,0
2613,230000,F,bachelor,single,25,0
22936,290000,F,bachelor,single,30,0
8739,80000,M,bachelor,single,26,0
1858,280000,M,bachelor,single,30,0
26422,120000,F,bachelor,single,37,0
27236,100000,M,master,single,31,0
4943,270000,F,master,single,31,0
14926,330000,F,bachelor,single,33,0
756,230000,M,bachelor,single,58,0
29225,20000,M,bachelor,single,24,0
6064,320000,F,master,single,33,0
14359,210000,F,bachelor,single,27,0
8781,100000,M,master,single,30,0
1136,60000,F,bachelor,single,31,0
22256,170000,F,master,single,29,0
18037,160000,M,school graduate,single,31,0
18989,100000,F,master,single,30,0
16541,30000,M,bachelor,single,27,0
2130,340000,F,master,single,26,0
16118,110000,F,school graduate,single,33,0
2654,310000,F,master,single,35,0
7345,100000,F,school graduate,single,50,0
2867,80000,F,master,single,26,0
2744,200000,F,master,single,27,0
4269,360000,M,master,single,29,0
25323,270000,F,master,single,28,0
6812,420000,F,bachelor,single,36,0
4799,480000,M,master,single,49,0
8245,260000,M,bachelor,single,27,0
19448,80000,F,master,single,28,0
12238,50000,M,master,single,30,0
13643,230000,F,bachelor,single,40,0
6568,50000,F,master,single,25,0
22605,440000,F,bachelor,single,42,0
17338,430000,F,school graduate,single,30,0
12838,150000,F,bachelor,single,23,0
1178,170000,F,bachelor,single,27,0
25479,180000,F,master,single,28,0
19021,240000,F,master,single,28,0
8407,230000,F,master,single,29,0
19986,260000,F,master,single,33,0
19217,50000,F,bachelor,single,38,0
20556,60000,M,master,single,28,0
29398,70000,M,master,single,28,0
11797,290000,M,bachelor,married,44,1
21120,160000,M,master,married,40,1
5086,50000,M,bachelor,married,43,1
10070,130000,F,bachelor,married,36,1
8832,50000,M,bachelor,married,37,1
12235,110000,M,bachelor,married,30,1
18635,50000,F,bachelor,married,27,1
24484,160000,M,master,married,41,1
9614,120000,M,master,married,34,1
12563,270000,F,school graduate,married,37,1
14873,30000,M,master,married,40,1
24393,80000,M,NaN,married,41,1
21204,490000,M,master,married,43,1
9094,50000,F,bachelor,married,30,1
11728,130000,F,school graduate,married,26,1
29727,60000,M,bachelor,married,36,1
9858,70000,M,school graduate,married,50,1
15546,270000,M,master,married,37,1
12958,100000,M,bachelor,married,33,1
28287,30000,F,bachelor,married,32,1
3403,710000,F,bachelor,married,40,1
14888,280000,F,master,married,38,1
6161,370000,M,master,married,40,1
29921,50000,M,other,married,45,1
1626,20000,M,school graduate,married,63,1
16943,30000,M,master,married,57,1
9324,500000,M,bachelor,married,39,1
7966,130000,M,bachelor,married,27,1
16470,30000,F,school graduate,married,53,1
27155,20000,M,bachelor,married,43,1
22831,50000,F,bachelor,married,37,1
20915,50000,M,bachelor,married,32,1
27540,50000,M,school graduate,married,52,1
5249,30000,F,bachelor,married,28,1
27376,360000,M,bachelor,married,35,1
28243,30000,F,bachelor,married,44,1
1264,150000,F,school graduate,married,43,1
3638,20000,M,bachelor,married,34,1
371,180000,M,bachelor,married,36,1
21196,20000,M,bachelor,married,38,1
17545,20000,F,bachelor,married,35,1
1109,80000,M,bachelor,married,54,1
27544,50000,M,school graduate,married,55,1
124,310000,F,bachelor,married,35,1
3759,80000,M,school graduate,married,27,1
17044,50000,F,bachelor,married,26,1
22728,280000,F,elementary education,married,44,1
18230,50000,M,bachelor,married,54,1
20727,60000,M,bachelor,married,41,1
25609,360000,F,master,married,41,1
6030,180000,F,school graduate,married,42,1
21951,50000,F,school graduate,married,28,1
5675,100000,F,bachelor,married,41,1
9469,200000,F,master,married,47,1
1131,230000,F,bachelor,married,34,1
16209,360000,F,master,married,35,1
10217,80000,F,school graduate,married,46,1
20754,20000,M,school graduate,married,40,1
24200,220000,M,school graduate,married,30,1
139,50000,F,school graduate,married,51,1
24766,50000,M,bachelor,married,44,1
10248,120000,F,bachelor,married,35,1
16652,30000,M,master,married,42,1
23344,170000,F,bachelor,married,31,1
19623,80000,F,master,married,37,1
5372,10000,M,school graduate,married,40,1
11908,130000,F,school graduate,married,43,1
8868,150000,F,master,married,30,1
24298,30000,M,bachelor,married,40,1
3491,80000,M,master,married,45,1
27102,300000,M,bachelor,married,45,1
21834,100000,F,bachelor,married,27,1
10794,210000,M,bachelor,married,30,1
11831,60000,M,bachelor,married,35,1
12054,50000,M,school graduate,married,55,1
14974,30000,M,school graduate,married,55,1
10601,180000,F,school graduate,married,51,1
26128,200000,F,school graduate,married,44,1
4069,50000,M,bachelor,married,43,1
16134,60000,F,bachelor,married,41,1
14977,30000,F,school graduate,married,58,1
13388,280000,M,school graduate,married,37,1
1209,230000,F,bachelor,married,51,1
17394,100000,F,school graduate,married,46,1
17375,50000,F,school graduate,married,46,1
16227,80000,F,bachelor,married,34,1
25818,530000,F,bachelor,married,44,1
13636,20000,M,school graduate,married,36,1
14050,100000,F,master,married,45,1
2248,280000,M,bachelor,married,36,1
18382,30000,F,bachelor,married,28,1
600,300000,F,bachelor,married,36,1
25044,150000,M,bachelor,married,52,1
19184,160000,F,bachelor,married,40,1
18607,50000,F,master,married,24,1
27474,150000,M,bachelor,married,51,1
29839,190000,M,bachelor,married,43,1
5112,180000,F,master,married,30,1
13992,230000,M,master,married,46,1
13371,500000,M,master,married,35,1
7409,30000,F,school graduate,married,41,1
27390,120000,M,master,married,41,1
4379,180000,F,bachelor,married,34,1
13942,50000,M,school graduate,married,49,1
27534,450000,M,bachelor,married,55,1
8568,80000,F,bachelor,married,47,1
22375,30000,F,school graduate,married,29,1
12491,50000,F,bachelor,married,34,1
2590,210000,F,bachelor,married,35,1
22628,180000,F,master,married,37,1
3540,30000,M,school graduate,married,45,1
19634,500000,F,school graduate,married,44,1
16718,30000,M,bachelor,married,36,1
18442,200000,F,bachelor,married,25,1
672,20000,M,bachelor,married,34,1
18282,30000,M,school graduate,married,54,1
10348,200000,M,school graduate,married,36,1
8320,50000,M,bachelor,married,42,1
6830,180000,M,bachelor,married,53,1
9812,90000,M,school graduate,married,49,1
8563,10000,F,bachelor,married,32,1
26405,120000,F,bachelor,married,46,1
11545,300000,F,bachelor,married,34,1
24333,50000,M,bachelor,married,49,1
8362,20000,M,bachelor,married,32,1
27385,160000,M,bachelor,married,35,1
2144,20000,M,school graduate,married,41,1
1957,220000,F,master,married,42,1
1087,410000,F,bachelor,married,41,1
9222,220000,M,master,married,42,1
27237,90000,M,bachelor,married,39,1
24459,20000,M,bachelor,married,46,1
20687,200000,M,bachelor,married,40,1
21118,360000,M,master,married,44,1
260,220000,M,master,married,48,1
25605,50000,F,school graduate,married,39,1
26219,80000,F,bachelor,married,37,1
1827,260000,F,bachelor,married,35,1
8870,240000,M,master,married,44,1
13050,50000,F,school graduate,married,33,1
14175,250000,M,bachelor,married,52,1
7183,60000,F,bachelor,married,30,1
6013,360000,F,school graduate,married,47,1
971,300000,M,master,married,42,1
16650,50000,M,school graduate,married,46,1
10629,260000,F,master,married,52,1
29055,80000,F,bachelor,married,51,1
14809,170000,M,master,married,35,1
22667,220000,F,school graduate,married,43,1
10440,330000,F,bachelor,married,27,1
25137,180000,M,master,married,75,1
2489,110000,F,bachelor,married,33,1
24698,90000,M,master,married,38,1
6045,500000,M,master,married,55,1
8470,180000,F,bachelor,married,37,1
23782,20000,F,school graduate,married,50,1
25144,30000,M,school graduate,married,56,1
2656,260000,F,master,married,35,1
5771,180000,M,bachelor,married,38,1
10542,50000,F,bachelor,married,27,1
24665,90000,M,bachelor,married,37,1
24342,200000,M,bachelor,married,38,1
28001,30000,F,bachelor,married,29,1
6154,460000,M,master,married,41,1
16840,230000,M,master,married,37,1
24913,110000,M,master,married,33,1
16099,70000,F,bachelor,married,46,1
23385,50000,F,bachelor,married,44,1
25374,80000,F,bachelor,married,27,1
25620,20000,F,bachelor,married,42,1
29975,50000,M,bachelor,married,37,1
4048,220000,F,master,married,60,1
26084,210000,F,bachelor,married,44,1
16306,50000,F,bachelor,married,33,1
13424,50000,F,bachelor,married,53,1
25090,280000,M,master,married,60,1
1250,350000,F,master,married,52,1
23418,140000,F,master,married,40,1
6752,30000,M,master,married,32,1
23711,100000,F,bachelor,married,55,1
1065,30000,F,school graduate,married,55,1
22598,500000,F,bachelor,married,45,1
20996,50000,M,bachelor,married,49,1
20974,50000,M,school graduate,married,45,1
25721,280000,F,bachelor,married,44,1
8607,70000,M,bachelor,married,34,1
27058,100000,M,master,married,38,1
2026,20000,F,bachelor,married,42,1
10103,30000,F,bachelor,married,42,1
11306,50000,M,bachelor,married,31,1
9935,50000,F,bachelor,married,25,1
29486,180000,M,master,married,32,1
22495,70000,F,school graduate,married,49,1
18114,240000,M,master,married,36,1
25831,60000,F,bachelor,married,32,1
26514,280000,F,master,married,63,1
19920,350000,F,master,married,44,1
25468,110000,F,master,married,33,1
24601,110000,M,bachelor,married,38,1
25382,130000,F,bachelor,married,26,1
27588,100000,M,school graduate,married,56,1
19105,30000,F,bachelor,married,39,1
25098,50000,M,school graduate,married,55,1
12297,420000,M,master,married,32,1
19821,200000,F,bachelor,married,46,1
17007,20000,F,school graduate,married,24,1
12160,20000,M,bachelor,married,38,1
4982,240000,M,school graduate,married,43,1
17986,230000,M,master,married,33,1
20147,50000,F,bachelor,married,42,1
1778,40000,M,school graduate,married,43,1
28167,30000,F,master,married,32,1
10623,200000,M,bachelor,married,51,1
26169,30000,F,master,married,47,1
12170,120000,F,school graduate,married,58,1
23333,260000,F,master,married,38,1
14937,80000,F,bachelor,married,41,1
895,240000,F,bachelor,married,37,1
14989,70000,F,master,married,42,1
1432,70000,F,bachelor,married,42,1
18187,300000,M,bachelor,married,35,1
16392,180000,F,bachelor,married,34,1
17825,50000,M,bachelor,married,25,1
16971,30000,M,school graduate,married,54,1
27112,70000,M,school graduate,married,46,1
1882,150000,F,bachelor,married,34,1
18455,50000,F,school graduate,married,26,1
5405,130000,F,school graduate,married,36,1
16476,20000,F,school graduate,married,56,1
2672,320000,F,master,married,38,1
29018,180000,F,master,married,40,1
10971,60000,M,bachelor,married,37,1
25484,100000,F,bachelor,married,28,1
12732,130000,F,master,married,36,1
16105,60000,F,school graduate,married,48,1
12504,200000,F,master,married,46,1
27050,200000,M,bachelor,married,35,1
18773,60000,F,bachelor,married,27,1
26897,10000,M,school graduate,married,35,1
2018,200000,M,bachelor,married,42,1
8564,20000,M,school graduate,married,52,1
7397,200000,F,bachelor,married,37,1
25081,30000,M,master,married,52,1
12494,30000,M,bachelor,married,33,1
2168,400000,M,bachelor,married,49,1
11560,240000,F,bachelor,married,28,1
13664,200000,M,master,married,37,1
3078,240000,M,bachelor,married,48,1
16377,30000,F,bachelor,married,48,1
27523,200000,M,school graduate,married,54,1
1723,90000,M,bachelor,married,44,1
9675,180000,M,master,married,31,1
16923,30000,M,bachelor,married,49,1
8266,140000,M,bachelor,married,46,1
28266,160000,F,master,married,38,1
